Muscle Group,Exercise,Video Link (Male),Video Link (Female),Equipment,Difficulty
Biceps,Dumbbell Single Arm Spider Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-spider-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-single-arm-spider-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-single-arm-spider-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-single-arm-spider-curl"">Female</a> Dumbbells",Beginner
Biceps,Dumbbell Spider Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-spider-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-spider-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-spider-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-spider-curl"">Female</a> Dumbbells",Beginner
Biceps,Dumbbell Twisting Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-twisting-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-twisting-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-twisting-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-twisting-curl"">Female</a> Dumbbells",Novice
Biceps,Plate Bicep Curl,https://musclewiki.com/plate/male/biceps/plate-bicep-curl,https://musclewiki.com/plate/female/biceps/plate-bicep-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/male/biceps/plate-bicep-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/female/biceps/plate-bicep-curl"">Female</a> Plate",Novice
Biceps,Plate Curl To Overhead Press,https://musclewiki.com/plate/male/biceps/plate-curl-to-overhead-press,https://musclewiki.com/plate/female/biceps/plate-curl-to-overhead-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/male/biceps/plate-curl-to-overhead-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/female/biceps/plate-curl-to-overhead-press"">Female</a> Plate",Intermediate
Biceps,Plate Curl To Overhead Press To Tricep Extension,https://musclewiki.com/plate/male/biceps/plate-curl-to-overhead-press-to-tricep-extension,https://musclewiki.com/plate/female/biceps/plate-curl-to-overhead-press-to-tricep-extension,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/male/biceps/plate-curl-to-overhead-press-to-tricep-extension"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/female/biceps/plate-curl-to-overhead-press-to-tricep-extension"">Female</a> Plate",Advanced
Biceps,Plate Squat Hold Curl,https://musclewiki.com/plate/male/biceps/plate-squat-hold-curl,https://musclewiki.com/plate/female/biceps/plate-squat-hold-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/male/biceps/plate-squat-hold-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/plate/female/biceps/plate-squat-hold-curl"">Female</a> Plate",Intermediate
Biceps,Band High Curl,https://musclewiki.com/band/male/biceps/band-high-curl,https://musclewiki.com/band/female/biceps/band-high-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-high-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-high-curl"">Female</a> Band",Novice
Biceps,Band High Hammer Curl,https://musclewiki.com/band/male/biceps/band-high-hammer-curl,https://musclewiki.com/band/female/biceps/band-high-hammer-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-high-hammer-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-high-hammer-curl"">Female</a> Band",Novice
Biceps,Band High Reverse Curl,https://musclewiki.com/band/male/biceps/band-high-reverse-curl,https://musclewiki.com/band/female/biceps/band-high-reverse-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-high-reverse-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-high-reverse-curl"">Female</a> Band",Novice
