Muscle Group,Exercise,Video Link (Male),Video Link (Female),Equipment,Difficulty
Triceps,Cable Bar Pushdown,https://musclewiki.com/cables/male/triceps/cable-bar-pushdown,https://musclewiki.com/cables/female/triceps/cable-bar-pushdown,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/male/triceps/cable-bar-pushdown"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/female/triceps/cable-bar-pushdown"">Female</a> Cables",Novice
Triceps,Cable Bar Reverse Grip Pushdown,https://musclewiki.com/cables/male/triceps/cable-bar-reverse-grip-pushdown,https://musclewiki.com/cables/female/triceps/cable-bar-reverse-grip-pushdown,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/male/triceps/cable-bar-reverse-grip-pushdown"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/female/triceps/cable-bar-reverse-grip-pushdown"">Female</a> Cables",Beginner
Triceps,Cable Tricep Kickback,https://musclewiki.com/cables/male/triceps/cable-tricep-kickback,https://musclewiki.com/cables/female/triceps/cable-tricep-kickback,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/male/triceps/cable-tricep-kickback"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/female/triceps/cable-tricep-kickback"">Female</a> Cables",Beginner
Triceps,Cable Single Arm Rope Pushdown,https://musclewiki.com/cables/male/triceps/cable-single-arm-rope-pushdown,https://musclewiki.com/cables/female/triceps/cable-single-arm-rope-pushdown,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/male/triceps/cable-single-arm-rope-pushdown"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/female/triceps/cable-single-arm-rope-pushdown"">Female</a> Cables",Novice
Triceps,Dumbbell Floor Press,https://musclewiki.com/dumbbells/male/triceps/dumbbell-floor-press,https://musclewiki.com/dumbbells/female/triceps/dumbbell-floor-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/triceps/dumbbell-floor-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/triceps/dumbbell-floor-press"">Female</a> Dumbbells",Beginner
Triceps,Dumbbell Incline Skullover,https://musclewiki.com/dumbbells/male/triceps/dumbbell-incline-skullover,https://musclewiki.com/dumbbells/female/triceps/dumbbell-incline-skullover,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/triceps/dumbbell-incline-skullover"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/triceps/dumbbell-incline-skullover"">Female</a> Dumbbells",Advanced
Triceps,Bodyweight Box Assisted Dips,https://musclewiki.com/bodyweight/male/triceps/bodyweight-box-assisted-dips,https://musclewiki.com/bodyweight/female/triceps/bodyweight-box-assisted-dips,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/bodyweight-box-assisted-dips"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/bodyweight-box-assisted-dips"">Female</a> Bodyweight",Novice
Triceps,Bodyweight Diamond Knee Push Ups,https://musclewiki.com/bodyweight/male/triceps/bodyweight-diamond-knee-push-ups,https://musclewiki.com/bodyweight/female/triceps/bodyweight-diamond-knee-push-ups,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/bodyweight-diamond-knee-push-ups"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/bodyweight-diamond-knee-push-ups"">Female</a> Bodyweight",Novice
Triceps,Bodyweight Elevated Push Up,https://musclewiki.com/bodyweight/male/triceps/bodyweight-elevated-push-up,https://musclewiki.com/bodyweight/female/triceps/bodyweight-elevated-push-up,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/bodyweight-elevated-push-up"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/bodyweight-elevated-push-up"">Female</a> Bodyweight",Intermediate
Triceps,Bodyweight Incline Knee Push Up,https://musclewiki.com/bodyweight/male/triceps/bodyweight-incline-knee-push-up,https://musclewiki.com/bodyweight/female/triceps/bodyweight-incline-knee-push-up,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/bodyweight-incline-knee-push-up"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/bodyweight-incline-knee-push-up"">Female</a> Bodyweight",Novice
Triceps,Bodyweight Knee Push Ups,https://musclewiki.com/bodyweight/male/triceps/bodyweight-knee-push-ups,https://musclewiki.com/bodyweight/female/triceps/bodyweight-knee-push-ups,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/bodyweight-knee-push-ups"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/bodyweight-knee-push-ups"">Female</a> Bodyweight",Novice
Triceps,Bodyweight Knee Tricep Extension,https://musclewiki.com/bodyweight/male/triceps/bodyweight-knee-tricep-extension,https://musclewiki.com/bodyweight/female/triceps/bodyweight-knee-tricep-extension,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/bodyweight-knee-tricep-extension"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/bodyweight-knee-tricep-extension"">Female</a> Bodyweight",Beginner
Triceps,Bodyweight Tricep Extension,https://musclewiki.com/bodyweight/male/triceps/bodyweight-tricep-extension,https://musclewiki.com/bodyweight/female/triceps/bodyweight-tricep-extension,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/bodyweight-tricep-extension"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/bodyweight-tricep-extension"">Female</a> Bodyweight",Intermediate
Triceps,Kettlebell Bottoms Up Single Arm Overhead Press,https://musclewiki.com/kettlebells/male/shoulders/kettlebell-bottoms-up-single-arm-overhead-press,https://musclewiki.com/kettlebells/female/shoulders/kettlebell-bottoms-up-single-arm-overhead-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/shoulders/kettlebell-bottoms-up-single-arm-overhead-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/shoulders/kettlebell-bottoms-up-single-arm-overhead-press"">Female</a> Kettlebells",Advanced
Triceps,Kettlebell Single Arm Press,https://musclewiki.com/kettlebells/male/triceps/kettlebell-single-arm-press,https://musclewiki.com/kettlebells/female/triceps/kettlebell-single-arm-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/triceps/kettlebell-single-arm-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/triceps/kettlebell-single-arm-press"">Female</a> Kettlebells",Beginner
Triceps,Kettlebell Walkover Pushup,https://musclewiki.com/kettlebells/male/triceps/kettlebell-walkover-pushup,https://musclewiki.com/kettlebells/female/triceps/kettlebell-walkover-pushup,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/triceps/kettlebell-walkover-pushup"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/triceps/kettlebell-walkover-pushup"">Female</a> Kettlebells",Advanced
